adc,dcm_hits,iae,itae,kind,limit_cycle_mV,overshoot_pct,pwm,ripple_pp_mV,ss_error_mV,t_settle_ms,ts,vin
-1,0,0.0013582749948585881,9.624974625067529e-05,dist_baseline_cont_vin_step,31.3304184474692,0.025221811517786418,-1,31.3304184474692,-0.0017637571865236623,61.426249999999996,-1,
-1,0,0.0013122050087132015,0.00010359017561127593,dist_baseline_cont_load_step,53.38178023205842,0.02415383196278609,-1,53.38178023205842,0.3161073893380717,60.935249999999996,-1,
16,0,0.001695383316060716,0.0001293565301000853,dist_ideal_digital_vin_step,39.10646557708297,0.9447482226917014,16,39.10646557708297,14.934126941607673,60.916,1,
16,0,0.0018569243287366232,0.0001597379773960941,dist_ideal_digital_load_step,77.60946297731053,2.9343034978339526,16,77.60946297731053,26.100251617140913,60.839999999999996,1,
8,266015,0.5346964646982963,0.04809102135948873,dist_worst_vin_step,2087.691107848688,16.610334875918635,12,2087.691107848688,-8894.15030356703,119.95199999999998,5,
8,163360,0.35296684870361905,0.03170706447784417,dist_worst_load_step,2387.8527349910178,39.42281904557557,12,2387.8527349910178,-5850.8979042776555,119.99974999999999,5,
16,0,0.014700000454818004,2.6615199574551216e-05,boundary_Ts1.5,29.13319274176196,0.04263382019556131,16,29.13319274176196,0.4444385421056296,3.905,1.5,12.0
16,0,0.017108381880296727,4.830683584857447e-05,boundary_Ts2,75.28496863690215,0.2992492229427216,16,75.28496863690215,13.536834107473084,4.8950000000000005,2,12.0
16,0,0.01861332733947231,4.026050665957966e-05,boundary_Ts2.5,42.87021335872865,0.06485539780263555,16,42.87021335872865,0.704370442951685,5.86525,2.5,12.0
16,0,0.016388831260513548,5.1457400884172265e-05,boundary_Ts3,72.32226256641638,0.26045740451968,16,72.32226256641638,12.818390962602066,6.045249999999999,3,12.0
16,0,0.015180675922170365,3.7326113782286735e-05,boundary_Ts3.5,49.499246110872974,0.18496430597373686,16,49.499246110872974,0.48774759340197704,6.375249999999999,3.5,12.0
16,101736,0.7681670319690352,0.023334385066264115,boundary_Ts4,1590.5571975430987,4.168475661638608,16,1590.5571975430987,-12968.263037220457,59.99975,4,12.0
16,0,0.011678236294602105,3.7488097130318915e-05,op_ideal_10,67.85322707798969,0.04033724281574913,16,67.85322707798969,14.159591410626504,2.7355,1,10.0
16,0,0.009991838481385141,2.604932977539426e-05,op_ideal_15,28.90015217683839,0.022328298539636474,16,28.90015217683839,11.050687706502416,2.55425,1,15.0
10,0,0.012011463384997787,4.75709630754075e-05,op_good_10,28.647107236604796,0.02430232363020508,10,28.647107236604796,22.329567041069254,2.68525,1,10.0
10,0,0.010048727537612002,2.996988746024422e-05,op_good_15,80.58792972294349,0.11460084825500859,10,80.58792972294349,11.438799904771813,2.5244999999999997,1,15.0
6,0,0.01547523009882532,5.6919131266589465e-05,op_poor_10,28.884773883220305,0.24787251885330214,6,28.884773883220305,22.330687530951465,5.39575,2,10.0
6,18,0.015664238277908447,0.00018029895336333577,op_poor_15,561.3138719660374,2.7997131365741588,6,561.3138719660374,-16.859986335489907,59.247499999999995,2,15.0
